Timestamp,Voltage (V),Current (A),Power (W)
2025-06-22T06:18:00.609Z,0.21,0.42,0
2025-06-22T06:18:01.613Z,0.21,0.42,0
2025-06-22T06:18:02.621Z,0.21,0.42,0
2025-06-22T06:18:03.632Z,0.21,0.42,0
2025-06-22T06:18:04.637Z,0.21,0.42,0
2025-06-22T06:18:05.644Z,0.21,0.42,0
2025-06-22T06:18:06.646Z,0.21,0.42,0
2025-06-22T06:18:07.657Z,0.21,0.42,0
2025-06-22T06:18:08.670Z,0.21,0.42,0
2025-06-22T06:18:09.672Z,0.21,0.42,0
2025-06-22T06:18:10.684Z,0.21,0.42,0
2025-06-22T06:18:11.684Z,0.21,0.42,0
2025-06-22T06:18:12.696Z,0.21,0.42,0
2025-06-22T06:18:13.704Z,0.21,0.42,0
2025-06-22T06:18:14.711Z,0.21,0.42,0
2025-06-22T06:18:15.715Z,0.21,0.42,0
2025-06-22T06:18:16.725Z,0.21,0.42,0
2025-06-22T06:18:17.729Z,0.21,0.42,0
2025-06-22T06:18:18.734Z,0.21,0.42,0
2025-06-22T06:18:19.748Z,0.21,0.42,0
2025-06-22T06:18:20.748Z,0.21,0.42,0
2025-06-22T06:18:21.765Z,0.21,0.42,0
2025-06-22T06:18:22.766Z,0.21,0.42,0
2025-06-22T06:18:23.778Z,0.21,0.42,0
2025-06-22T06:18:24.784Z,0.21,0.42,0
2025-06-22T06:18:25.796Z,0.21,0.42,0
2025-06-22T06:18:26.803Z,0.21,0.42,0
2025-06-22T06:18:27.810Z,0.21,0.42,0
2025-06-22T06:18:28.816Z,0.21,0.42,0
2025-06-22T06:18:29.828Z,0.21,0.42,0
2025-06-22T06:18:30.838Z,0.21,0.42,0
2025-06-22T06:18:31.856Z,0.21,0.42,0
2025-06-22T06:18:32.859Z,0.21,0.42,0
2025-06-22T06:18:33.863Z,0.21,0.42,0
2025-06-22T06:18:34.867Z,0.21,0.42,0
2025-06-22T06:18:35.872Z,0.21,0.42,0
2025-06-22T06:18:36.872Z,0.21,0.42,0
2025-06-22T06:18:37.884Z,0.21,0.42,0
2025-06-22T06:18:38.897Z,0.21,0.42,0
2025-06-22T06:18:39.911Z,0.21,0.42,0
2025-06-22T06:18:40.913Z,0.21,0.42,0
2025-06-22T06:18:41.924Z,0.21,0.42,0
2025-06-22T06:18:42.927Z,0.21,0.42,0
2025-06-22T06:18:43.940Z,0.21,0.42,0
2025-06-22T06:18:44.953Z,0.21,0.42,0
2025-06-22T06:18:45.967Z,0.21,0.42,0
2025-06-22T06:18:46.969Z,0.21,0.42,0
2025-06-22T06:18:47.983Z,0.21,0.42,0
2025-06-22T06:18:48.985Z,0.21,0.42,0
2025-06-22T06:18:49.990Z,0.21,0.42,0
2025-06-22T06:18:50.992Z,0.21,0.42,0
2025-06-22T06:18:52.001Z,0.21,0.42,0
2025-06-22T06:21:55.582Z,0.21,0.42,0
2025-06-22T06:21:56.590Z,0.21,0.42,0
2025-06-22T06:21:57.596Z,0.21,0.42,0
2025-06-22T06:21:58.596Z,0.21,0.42,0
2025-06-22T06:21:59.611Z,0.21,0.42,0
2025-06-22T06:22:00.625Z,0.21,0.42,0
2025-06-22T06:22:01.625Z,0.21,0.42,0
2025-06-22T06:22:02.626Z,0.21,0.42,0
2025-06-22T06:22:03.640Z,0.21,0.42,0
2025-06-22T06:22:04.650Z,0.21,0.42,0
2025-06-22T06:22:05.650Z,0.21,0.42,0
2025-06-22T06:22:06.652Z,0.21,0.42,0
2025-06-22T06:22:07.652Z,0.21,0.42,0
2025-06-22T06:22:08.662Z,0.21,0.42,0
2025-06-22T06:22:09.666Z,0.21,0.42,0
2025-06-22T06:22:10.668Z,0.21,0.42,0
2025-06-22T06:22:11.669Z,0.21,0.42,0
2025-06-22T06:22:12.669Z,0.21,0.42,0
2025-06-22T06:22:13.677Z,0.21,0.42,0
2025-06-22T06:22:14.683Z,0.21,0.42,0
2025-06-22T06:22:15.692Z,0.21,0.42,0
2025-06-22T06:22:16.695Z,0.21,0.42,0
2025-06-22T06:22:17.700Z,0.21,0.42,0
2025-06-22T06:22:58.277Z,0.21,0.42,0
2025-06-22T06:22:59.282Z,0.21,0.42,0
2025-06-22T06:23:00.290Z,0.21,0.42,0
2025-06-22T06:23:01.297Z,0.21,0.42,0
2025-06-22T06:23:02.301Z,0.21,0.42,0
2025-06-22T06:23:03.304Z,0.21,0.42,0
2025-06-22T06:23:04.320Z,0.21,0.42,0
2025-06-22T06:23:05.329Z,0.21,0.42,0
2025-06-22T06:23:06.342Z,0.21,0.42,0
2025-06-22T06:23:07.348Z,0.21,0.42,0
2025-06-22T06:23:08.353Z,0.21,0.42,0
2025-06-22T06:23:09.360Z,0.21,0.42,0
2025-06-22T06:23:10.373Z,0.21,0.42,0
2025-06-22T06:23:11.383Z,0.21,0.42,0
2025-06-22T06:23:12.396Z,0.21,0.42,0
2025-06-22T06:23:13.407Z,0.21,0.42,0
2025-06-22T06:23:14.418Z,0.21,0.42,0
2025-06-22T06:23:15.424Z,0.21,0.42,0
2025-06-22T06:23:16.432Z,0.21,0.42,0
2025-06-22T06:23:17.433Z,0.21,0.42,0
2025-06-22T06:23:18.443Z,0.21,0.42,0
2025-06-22T06:23:19.456Z,0.21,0.42,0
2025-06-22T06:23:20.467Z,0.21,0.42,0
2025-06-22T06:23:21.469Z,0.21,0.42,0
2025-06-22T06:23:22.477Z,0.21,0.42,0
2025-06-22T06:23:23.489Z,0.21,0.42,0
2025-06-22T06:23:24.498Z,0.21,0.42,0
2025-06-22T06:23:25.511Z,0.21,0.42,0
2025-06-22T06:23:26.516Z,0.21,0.42,0
2025-06-22T06:23:27.523Z,0.21,0.42,0
2025-06-22T06:23:28.524Z,0.21,0.42,0
2025-06-22T06:23:29.537Z,0.21,0.42,0
2025-06-22T06:23:30.541Z,0.21,0.42,0
2025-06-22T06:23:31.556Z,0.21,0.42,0
2025-06-22T06:23:32.570Z,0.21,0.42,0
2025-06-22T06:23:33.580Z,0.21,0.42,0
2025-06-22T06:23:34.588Z,0.21,0.42,0
2025-06-22T06:23:35.594Z,0.21,0.42,0
2025-06-22T06:23:36.596Z,0.21,0.42,0
2025-06-22T06:23:37.601Z,0.21,0.42,0
2025-06-22T06:23:38.611Z,0.21,0.42,0
2025-06-22T06:23:39.625Z,0.21,0.42,0
2025-06-22T06:23:40.625Z,0.21,0.42,0
2025-06-22T06:23:41.625Z,0.21,0.42,0
2025-06-22T06:23:42.641Z,0.21,0.42,0
2025-06-22T06:23:43.643Z,0.21,0.42,0
2025-06-22T06:23:44.658Z,0.21,0.42,0
2025-06-22T06:23:45.671Z,0.21,0.42,0
2025-06-22T06:23:46.671Z,0.21,0.42,0
2025-06-22T06:23:47.671Z,0.21,0.42,0
2025-06-22T06:23:48.672Z,0.21,0.42,0
2025-06-22T06:23:49.672Z,0.21,0.42,0
2025-06-22T06:23:50.677Z,0.21,0.42,0
2025-06-22T06:23:51.681Z,0.21,0.42,0
2025-06-22T06:23:52.691Z,0.21,0.42,0
2025-06-22T06:23:53.694Z,0.21,0.42,0
2025-06-22T06:23:54.696Z,0.21,0.42,0
2025-06-22T06:23:55.701Z,0.21,0.42,0
2025-06-22T06:23:56.710Z,0.21,0.42,0
2025-06-22T06:23:57.717Z,0.21,0.42,0
2025-06-22T06:23:58.723Z,0.21,0.42,0
2025-06-22T06:23:59.731Z,0.21,0.42,0
2025-06-22T06:24:00.733Z,0.21,0.42,0
2025-06-22T06:24:01.743Z,0.21,0.42,0
